channel,category,description
UCYO_jab_esuFRV4b17AJtAw,education,3Blue1Brown - Mathematics and visual explanations
UCsBjURrPoezykLs9EqgamOA,tech,Fireship - Web development and programming tutorials
UCbfYPyITQ-7l4upoX8nvctg,ai,Two Minute Papers - AI and machine learning research
UCfzlCWGWYyIQ0aLC5w48gBQ,programming,Sentdex - Python programming and machine learning
UCSHZKyawb77ixDdsGog4iWA,podcast,Lex Fridman - AI and technology interviews
UC9-y-6csu5WGm29I7JiwpnA,computer_science,Computerphile - Computer science concepts
UC6nSFpj9HTCZ5t-N3Rm3-HA,science,Vsauce - Science and curiosity
UCHnyfMqiRRG1u-2MsSQLbXA,science,Veritasium - Science and engineering
UCoxcjq-8xIDTYp3uz647V5A,mathematics,Numberphile - Mathematics
